scope,record_index,system,component,material_family,tier,action_class,meaning,recommended_action,logical_present,mappable_present,primary_t1
primary,68,Ensemble porte,Alu,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
all,68,Ensemble porte,Alu,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
primary,69,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,69,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,70,Manchette acc. Mobile,Alu,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
all,70,Manchette acc. Mobile,Alu,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
primary,71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,electronics_cots,T2,requires_bom_or_part_number,T2 procédé/EMS électronique non identifié.,"Demander BOM, part number, EMS/ODM, routage industriel et AVL.",False,False,TE Connectivity
all,71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,electronics_cots,T2,requires_bom_or_part_number,T2 procédé/EMS électronique non identifié.,"Demander BOM, part number, EMS/ODM, routage industriel et AVL.",False,False,TE Connectivity
primary,73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,T4,accepted_do_not_infer_cots,T4 non inféré pour COTS/électronique.,T4: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte. / Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu. (low),False,False,
primary,73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,T3,accepted_do_not_infer_cots,T3 non inféré pour COTS/électronique.,T3: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte. / Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu. (low),False,False,
primary,73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
all,73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,T4,accepted_do_not_infer_cots,T4 non inféré pour COTS/électronique.,T4: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte. / Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu. (low),False,False,
all,73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,T3,accepted_do_not_infer_cots,T3 non inféré pour COTS/électronique.,T3: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte. / Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu. (low),False,False,
all,73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
primary,74,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,T2,requires_bom_or_part_number,T2 procédé/EMS électronique non identifié.,"Demander BOM, part number, EMS/ODM, routage industriel et AVL.",False,False,Liebherr Aerospace
all,74,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,T2,requires_bom_or_part_number,T2 procédé/EMS électronique non identifié.,"Demander BOM, part number, EMS/ODM, routage industriel et AVL.",False,False,Liebherr Aerospace
primary,75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,T3,hard_gap_manual_review,T3 absent sans règle de résolution documentée.,"Créer une décision métier: internalisé, non applicable, ou fournisseur/route à documenter.",False,False,
primary,75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,T2,hard_gap_manual_review,T2 non déterminable avec les données actuelles.,T2: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (medium),False,False,
primary,75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,T1,hard_gap_direct_supplier,T1 fournisseur direct absent.,Bloquant pour un switch fournisseur: demander fournisseur programme ou modéliser explicitement en opération interne Safran.,False,False,
all,75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,T3,hard_gap_manual_review,T3 absent sans règle de résolution documentée.,"Créer une décision métier: internalisé, non applicable, ou fournisseur/route à documenter.",False,False,
all,75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,T2,hard_gap_manual_review,T2 non déterminable avec les données actuelles.,T2: tier probable non determinable sans information metier supplementaire. / Garder hors simulation active. (medium),False,False,
all,75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,T1,hard_gap_direct_supplier,T1 fournisseur direct absent.,Bloquant pour un switch fournisseur: demander fournisseur programme ou modéliser explicitement en opération interne Safran.,False,False,
primary,76,Manchette acc. Mobile,cuir,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,MGA Villeneuve St Lot
all,76,Manchette acc. Mobile,cuir,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,MGA Villeneuve St Lot
primary,77,Manchette équipée,cuir,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,MGA Villeneuve St Lot
all,77,Manchette équipée,cuir,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,MGA Villeneuve St Lot
primary,78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
all,78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
primary,81,Ens. Structure fauteuil,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
all,81,Ens. Structure fauteuil,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,94,Accoudoir allée,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
all,94,Accoudoir allée,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,95,Ens. Palette optimisée,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
all,95,Ens. Palette optimisée,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,96,Ensemble porte,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
all,96,Ensemble porte,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,98,Ens. Tablette cocktail,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
all,98,Ens. Tablette cocktail,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,99,Ens. Tablette repas,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
all,99,Ens. Tablette repas,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,100,Ens. Têtière,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
all,100,Ens. Têtière,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,101,Stowage assemblé avec porte,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
all,101,Stowage assemblé avec porte,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,102,Support écran,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
all,102,Support écran,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,110,Ens. Coque,NIDA - GLO (moulage par injection plastique),polymer_plastic,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: JAMCO / Collins / ACH / Safran internal integrator to validate. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
all,110,Ens. Coque,NIDA - GLO (moulage par injection plastique),polymer_plastic,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: JAMCO / Collins / ACH / Safran internal integrator to validate. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
primary,116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,T4,requires_material_certificate,T4 matière/transformateur non activable sans certificat ou routing.,"T4 le plus probable: fournisseur matiere primaire a choisir via certificat matiere, candidats: Saarstahl / ArcelorMittal / Tata Steel / China Baowu steel source. / Garder en candidat non actif tant que le certificat matiere ou l'achat ne donne pas le producteur/site exact. (medium)",False,False,MGA Villeneuve St Lot
primary,116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,T3,requires_material_certificate,T3 matière/transformateur non activable sans certificat ou routing.,"T3 le plus probable: un transformateur matiere deja present dans la supply, candidats: thyssenkrupp Materials France / Aubert & Duval / Euralliage. / Prioriser le candidat deja utilise sur la meme famille matiere; activer seulement avec traceabilite grade/site. (medium)",False,False,MGA Villeneuve St Lot
primary,116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (MGA Villeneuve St Lot). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,MGA Villeneuve St Lot
all,116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,T4,requires_material_certificate,T4 matière/transformateur non activable sans certificat ou routing.,"T4 le plus probable: fournisseur matiere primaire a choisir via certificat matiere, candidats: Saarstahl / ArcelorMittal / Tata Steel / China Baowu steel source. / Garder en candidat non actif tant que le certificat matiere ou l'achat ne donne pas le producteur/site exact. (medium)",False,False,MGA Villeneuve St Lot
all,116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,T3,requires_material_certificate,T3 matière/transformateur non activable sans certificat ou routing.,"T3 le plus probable: un transformateur matiere deja present dans la supply, candidats: thyssenkrupp Materials France / Aubert & Duval / Euralliage. / Prioriser le candidat deja utilise sur la meme famille matiere; activer seulement avec traceabilite grade/site. (medium)",False,False,MGA Villeneuve St Lot
all,116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (MGA Villeneuve St Lot). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,MGA Villeneuve St Lot
primary,121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",electronics_cots,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
all,121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",electronics_cots,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
primary,123,Ens. Structure fixe,Alu,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
all,123,Ens. Structure fixe,Alu,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
primary,124,Ens. Structure fixe,caoutchouc,rubber_silicone,T3,accepted_present_but_unpositioned,T3 existe dans le modèle mais n'est pas cartographiable: site_unknown_requires_material_grade_or_supplier_proof.,Garder hors carte ou renseigner le site exact; ne pas créer un faux point.,True,False,MGA Villeneuve St Lot
all,124,Ens. Structure fixe,caoutchouc,rubber_silicone,T3,accepted_present_but_unpositioned,T3 existe dans le modèle mais n'est pas cartographiable: site_unknown_requires_material_grade_or_supplier_proof.,Garder hors carte ou renseigner le site exact; ne pas créer un faux point.,True,False,MGA Villeneuve St Lot
primary,125,Ens. Palette optimisée,Polychloroprene,rubber_silicone,T3,accepted_present_but_unpositioned,T3 existe dans le modèle mais n'est pas cartographiable: site_unknown_requires_material_grade_or_supplier_proof.,Garder hors carte ou renseigner le site exact; ne pas créer un faux point.,True,False,SUMPAR
all,125,Ens. Palette optimisée,Polychloroprene,rubber_silicone,T3,accepted_present_but_unpositioned,T3 existe dans le modèle mais n'est pas cartographiable: site_unknown_requires_material_grade_or_supplier_proof.,Garder hors carte ou renseigner le site exact; ne pas créer un faux point.,True,False,SUMPAR
primary,126,Powerbox,powerbox,electronics_cots,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
all,126,Powerbox,powerbox,electronics_cots,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
primary,128,Ens. Coque,Résine BR623 - composite,composite_titanium,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: JAMCO / Collins / ACH / Safran internal integrator to validate. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
all,128,Ens. Coque,Résine BR623 - composite,composite_titanium,T1,requires_bom_or_part_number,T1 direct non prouvé.,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: JAMCO / Collins / ACH / Safran internal integrator to validate. / Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran. (medium_low)",False,False,
primary,129,Ens. Tablette repas,Silicone50 shore,rubber_silicone,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: Shin-Etsu / silicone raw chemistry source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,129,Ens. Tablette repas,Silicone50 shore,rubber_silicone,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: Shin-Etsu / silicone raw chemistry source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,130,Remote extender unit,télécommande,electronics_cots,T3,accepted_present_but_unpositioned,T3 existe dans le modèle mais n'est pas cartographiable: site_unknown_requires_material_grade_or_supplier_proof.,Garder hors carte ou renseigner le site exact; ne pas créer un faux point.,True,False,Thales
primary,131,Coussin têtière,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,131,Coussin têtière,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,132,Ens. Coussin assise,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,132,Ens. Coussin assise,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,133,Ens.coussin dossier version têtière,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,133,Ens.coussin dossier version têtière,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,134,Ens. Coussin dossier,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,134,Ens. Coussin dossier,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,135,Ens. Tablette cocktail,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,135,Ens. Tablette cocktail,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,136,Ens. Têtière,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,136,Ens. Têtière,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,138,Ens. Structure fixe,inox,steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
