site_uid,supplier_ids,site_ids,roles,name,location,country_code,lat,lon,source_confidence,site_quality,path_count,allocated_mass_kg
"franklin_internal_cutting_gluing_process_tier2_second_transformation@@franklin_internal_cutting_gluing_process_tier2_second_transformation@51.8215327,20.5268712",franklin_internal_cutting_gluing_process_tier2_second_transformation,"franklin_internal_cutting_gluing_process_tier2_second_transformation@51.8215327,20.5268712",T2,FRANKLIN - internal cutting/gluing process,Poland,PL,51.8215327,20.5268712,medium,unknown_or_legacy,5,3.942
"somani@@somani@41.3521,-8.3628",somani,"somani@41.3521,-8.3628",T3,SOMANI,Portugal,PT,41.3520515,-8.3628041,,unknown_or_legacy,6,0.099
"senior_aerospace_thailand@@senior_aerospace_thailand@13.0914,101.0108",senior_aerospace_thailand,"senior_aerospace_thailand@13.0914,101.0108",T1,Senior Aerospace Thailand,Thailand,TH,13.0914,101.0108,high,source_backed_or_medium_high,13,1.668836
"senior_aerospace_thailand_tier1@@senior_aerospace_thailand_tier1@13.0914,101.0108",senior_aerospace_thailand_tier1,"senior_aerospace_thailand_tier1@13.0914,101.0108",T1,Senior Aerospace Thailand,Thailand,TH,13.0914,101.0108,high,source_backed_or_medium_high,2,18.4201
"senior_aerospace_thailand_-_internal_machining/forming_process__tier2_second_transformation@@senior_aerospace_thailand_-_internal_machining/forming_process__tier2_second_transformation@13.0914,101.0108",senior_aerospace_thailand_-_internal_machining/forming_process__tier2_second_transformation,"senior_aerospace_thailand_-_internal_machining/forming_process__tier2_second_transformation@13.0914,101.0108",T2,Senior Aerospace Thailand - internal machining/forming process,Thailand,TH,13.0914,101.0108,high,source_backed_or_medium_high,12,1.587836
"senior_aerospace_thailand_internal_machining_forming_process_tier2_second_transformation@@senior_aerospace_thailand_internal_machining_forming_process_tier2_second_transformation@13.0914,101.0108",senior_aerospace_thailand_internal_machining_forming_process_tier2_second_transformation,"senior_aerospace_thailand_internal_machining_forming_process_tier2_second_transformation@13.0914,101.0108",T2,Senior Aerospace Thailand - internal machining/forming process,Thailand,TH,13.0914,101.0108,high,source_backed_or_medium_high,2,18.4201
"3m@@3m@41.9519,-88.7122",3m,"3m@41.9519,-88.7122",T2,3M,United States,US,41.9519215,-88.7122029,,unknown_or_legacy,1,1.5
"alcoa@@alcoa@40.4406,-79.9959",alcoa,"alcoa@40.4406,-79.9959",T4,Alcoa,"Newburgh, United States",US,37.9202921,-87.3302684,medium_high,source_backed_or_medium_high,31,58.921985
"amsafe@@amsafe@33.456,-112.16",amsafe,"amsafe@33.456,-112.16",T1,AmSafe,United States,US,33.456,-112.16,high,source_backed_or_medium_high,10,1.503121
"dupont_de_nemours@@dupont_de_nemours@39.7391,-75.5398",dupont_de_nemours,"dupont_de_nemours@39.7391,-75.5398",T2,DuPont de Nemours,"Richmond, United States",US,37.4520437,-77.4335412,medium_high,source_backed_or_medium_high,22,2.469
"dupont_de_nemours_-_fiber/polymer_source_assumption__tier4_raw_material@@dupont_de_nemours_-_fiber/polymer_source_assumption__tier4_raw_material@37.4520437,-77.4335412",dupont_de_nemours_-_fiber/polymer_source_assumption__tier4_raw_material,"dupont_de_nemours_-_fiber/polymer_source_assumption__tier4_raw_material@37.4520437,-77.4335412",T4,DuPont de Nemours - fiber/polymer source assumption,"Richmond, United States",US,37.4520437,-77.4335412,medium_high,source_backed_or_medium_high,19,2.576
"glatfelter@@glatfelter@39.8712,-76.864",glatfelter,"glatfelter@39.8712,-76.864",T2,Glatfelter,United States,US,39.871164,-76.8640254,,unknown_or_legacy,1,0.95
"schroth_safety_products@@schroth_safety_products@26.18,-80.19",schroth_safety_products,"schroth_safety_products@26.18,-80.19",T2,SCHROTH Safety Products,United States,US,26.18,-80.19,high,source_backed_or_medium_high,20,8.121347
"sika@@sika@40.6998,-73.9244",sika,"sika@40.6998,-73.9244",T2,Sika,United States,US,40.6997868,-73.9244291,,unknown_or_legacy,1,0.392
