record_index,system,component,family,mass_kg,source_mass_kg,mass_policy,lca_use_class,lca_confidence,readiness,issue_codes,total_route_km,kg_km,modes,t4,t3,t2,t1,oem
14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,0.660743,0.660743,include_baseline_estimate,usable_for_baseline,medium_high,primary_complete_needs_validation,baseline_node_is_assumption;material_certificate_required,530.3,350.4,internal|truck,Saarstahl,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
144,Coussin ottoman,velours,textile_leather,0.034,0.034,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9865.5,335.4,rail|ship|truck,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin,Safran Seats / Safran internal group
155,accoudoir allee,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.709677,0.7096766,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;material_certificate_required,460.1,326.5,internal|truck,ArcelorMittal,thyssenkrupp Materials France,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
59,Manchette équipée,acier,steel,0.019149,0.0191495,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,299.3,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
99,Ens. Tablette repas,inox,steel,0.014,0.014,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19649.7,275.1,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
102,Support écran,inox,steel,0.014,0.014,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19649.7,275.1,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
87,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.121,0.121,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,2246.8,271.9,internal|rail|truck,BASF - PU chemistry source candidate,FRANKLIN - FRMC55 certified foam/fabric sourcing package,FRANKLIN - internal cutting/gluing process,FRANKLIN,Safran Seats / Safran internal group
28,Ens. Têtière,A2024 - Aluminium,aluminium,0.029,0.029,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,8639.0,250.5,internal|ship|truck,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin,Safran Seats / Safran internal group
146,Ens. Coussin assise,velours,textile_leather,0.025,0.025,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9865.5,246.6,rail|ship|truck,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin,Safran Seats / Safran internal group
49,Ens. Stowage latéral,acier,steel,0.015198,0.0151984,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,237.5,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
98,Ens. Tablette cocktail,inox,steel,0.012,0.012,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19649.7,235.8,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,steel,0.496,0.496,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;material_certificate_required,460.1,228.2,internal|truck,ArcelorMittal,thyssenkrupp Materials France,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
30,Bumper version porte,A5086 - Aluminium,aluminium,0.024,0.024,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,221.7,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
148,Ens. Coussin dossier,velours,textile_leather,0.022,0.022,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9865.5,217.0,rail|ship|truck,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin,Safran Seats / Safran internal group
140,Coussin têtière,velcro,textile_leather,0.007,0.007,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;raw_material_source_missing,30980.1,216.9,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ACH,Safran Seats / Safran internal group
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,general,3.365,3.365,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,60.6,203.9,internal|truck,TE Connectivity - COTS electronics component market basket,TE Connectivity - COTS electronics subassembly/PCB package,TE Connectivity - electronics routing/EMS package,TE Connectivity,Safran Seats / Safran internal group
6,Ens. Stowage latéral,cuir,textile_leather,0.112,0.112,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,1783.4,199.7,internal|truck,Gruppo Mastrotto - hide/raw leather source assumption,Gruppo Mastrotto,Maison Fichet,MGA Villeneuve St Lot,Safran Seats / Safran internal group
79,Accoudoir allée,Ertalon,polymer_plastic,0.01,0.01,include_exact_component,quantitative_ready,high,primary_ready_topology,,19463.7,194.6,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR,Safran Seats / Safran internal group
142,Ens. Coussin dossier,velcro,textile_leather,0.006,0.006,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;raw_material_source_missing,30980.1,185.9,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ACH,Safran Seats / Safran internal group
143,Manchette équipée,velcro,textile_leather,0.006,0.006,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;raw_material_source_missing,30980.1,185.9,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ACH,Safran Seats / Safran internal group
101,Stowage assemblé avec porte,inox,steel,0.00928,0.00928,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19649.7,182.3,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",textile_leather,0.008,0.008,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,21699.3,173.6,ship|truck,DuPont de Nemours - fiber/polymer source assumption,Yamazaki Velvet Co.,Lelièvre Paris,ESPACE,Safran Seats / Safran internal group
141,Ens.coussin dossier version têtière,velcro,textile_leather,0.005,0.005,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;raw_material_source_missing,30980.1,154.9,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ACH,Safran Seats / Safran internal group
83,Ens. Tablette repas,Ertalon,polymer_plastic,0.007,0.007,include_exact_component,quantitative_ready,high,primary_ready_topology,,19463.7,136.2,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR,Safran Seats / Safran internal group
77,Manchette équipée,cuir,textile_leather,0.06,0.06,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,1783.4,107.0,internal|truck,Gruppo Mastrotto - hide/raw leather source assumption,Gruppo Mastrotto,Maison Fichet,MGA Villeneuve St Lot,Safran Seats / Safran internal group
65,Support manchette équipée,acier,steel,0.006,0.006,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,93.8,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
96,Ensemble porte,inox,steel,0.004759,0.0047592,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19649.7,93.5,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
43,Support NFC,A5086 - Aluminium,aluminium,0.01,0.01,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,92.4,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
119,Ens. Têtière,nylon,textile_leather,0.003,0.003,include_exact_component,quantitative_ready,high,primary_ready_topology,,27592.4,82.8,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe,Safran Seats / Safran internal group
147,Ens.coussin dossier version têtière,velours,textile_leather,0.008,0.008,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9865.5,78.9,rail|ship|truck,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin,Safran Seats / Safran internal group
76,Manchette acc. Mobile,cuir,textile_leather,0.039,0.039,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,1783.4,69.6,internal|truck,Gruppo Mastrotto - hide/raw leather source assumption,Gruppo Mastrotto,Maison Fichet,MGA Villeneuve St Lot,Safran Seats / Safran internal group
150,Habillage sous fauteuil,velours,textile_leather,0.007,0.007,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9865.5,69.1,rail|ship|truck,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin,Safran Seats / Safran internal group
124,Ens. Structure fixe,caoutchouc,polymer_plastic,0.01,0.01,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,6335.7,63.4,internal|ship|truck,Halcyon Hevecam,Ensinger - material intermediate sourcing,Ensinger,MGA Villeneuve St Lot,Safran Seats / Safran internal group
135,Ens. Tablette cocktail,tissu,textile_leather,0.002,0.002,include_with_review,usable_with_review,medium,primary_complete_needs_validation,baseline_node_is_assumption;lca_mass_requires_review,31002.8,62.0,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin,Safran Seats / Safran internal group
136,Ens. Têtière,tissu,textile_leather,0.002,0.002,include_with_review,usable_with_review,medium,primary_complete_needs_validation,baseline_node_is_assumption;lca_mass_requires_review,31002.8,62.0,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin,Safran Seats / Safran internal group
114,Ens. Palette optimisée,nylon,textile_leather,0.002188,0.0021875,include_with_review,usable_with_review,medium,primary_complete_needs_validation,lca_mass_requires_review,27592.4,60.4,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe,Safran Seats / Safran internal group
80,Ens. Stowage latéral,Ertalon,polymer_plastic,0.003,0.003,include_exact_component,quantitative_ready,high,primary_ready_topology,,19463.7,58.4,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR,Safran Seats / Safran internal group
117,Ens. Tablette cocktail,nylon,textile_leather,0.002,0.002,include_exact_component,quantitative_ready,high,primary_ready_topology,,27592.4,55.2,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe,Safran Seats / Safran internal group
125,Ens. Palette optimisée,Polychloroprene,polymer_plastic,0.004993,0.0049932,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,10130.9,50.6,internal|ship|truck,Mitsubishi Chemical,Ensinger - material intermediate sourcing,Ensinger,SUMPAR,Safran Seats / Safran internal group
60,Renfort tubulaire,acier,steel,0.003,0.003,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,46.9,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
64,Support équipé,acier,steel,0.003,0.003,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,46.9,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
92,Manchette acc. Mobile,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,1094.5,42.7,internal|truck,BASF - PU chemistry source candidate,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,MGR Foamtex Ltd - internal foam/upholstery process,MGR Foamtex Ltd,Safran Seats / Safran internal group
93,Manchette équipée,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,1094.5,42.7,internal|truck,BASF - PU chemistry source candidate,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,MGR Foamtex Ltd - internal foam/upholstery process,MGR Foamtex Ltd,Safran Seats / Safran internal group
33,Ens. Structure fauteuil,4140 (acier),steel,0.002,0.002,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19649.7,39.3,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
82,Ensemble porte,Ertalon,polymer_plastic,0.002,0.002,include_exact_component,quantitative_ready,high,primary_ready_topology,,19463.7,38.9,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR,Safran Seats / Safran internal group
116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,0.029,0.029,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;material_certificate_required,1237.6,35.9,internal|truck,Saarstahl,Aubert & Duval,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot,Safran Seats / Safran internal group
145,Coussin têtière,velours,textile_leather,0.003,0.003,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9865.5,29.6,rail|ship|truck,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin,Safran Seats / Safran internal group
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",steel,0.022,0.022,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,1237.6,27.2,internal|truck,Saarstahl,Aubert & Duval,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot,Safran Seats / Safran internal group
13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),steel,0.027,0.027,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,989.1,26.7,internal|truck,Saarstahl,Aubert & Duval,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
91,Ens. Stowage latéral,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.016,0.016,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,1312.2,21.0,internal|truck,BASF - PU chemistry source candidate,MGA Villeneuve St Lot - FRMC55 certified foam/fabric sourcing package,MGA Villeneuve St Lot - internal FRMC55 integration process,MGA Villeneuve St Lot,Safran Seats / Safran internal group
100,Ens. Têtière,inox,steel,0.001,0.001,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19649.7,19.6,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
115,Ensemble porte,nylon,textile_leather,0.0004,0.0004003,include_exact_component,quantitative_ready,high,primary_ready_topology,,27592.4,11.0,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe,Safran Seats / Safran internal group
154,bumper version porte,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.024,0.024,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;material_certificate_required,460.1,11.0,internal|truck,ArcelorMittal,thyssenkrupp Materials France,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
120,Stowage assemblé avec porte,nylon,textile_leather,0.000375,0.000375,include_with_review,usable_with_review,medium,primary_complete_needs_validation,lca_mass_requires_review,27592.4,10.3,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe,Safran Seats / Safran internal group
9,Stowage assemblé avec porte,Silicone,rubber_silicone,0.0007,0.0007,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,11685.2,8.2,ship|truck,Shin-Etsu Silicones,Saint-Gobain,Silicone Engineering,MGA Villeneuve St Lot,Safran Seats / Safran internal group
129,Ens. Tablette repas,Silicone50 shore,rubber_silicone,0.0007,0.0007,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,11113.0,7.8,ship|truck,Shin-Etsu Silicones,Saint-Gobain,Silicone Engineering,ETS Gattefin,Safran Seats / Safran internal group
16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,0.008,0.008,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;material_certificate_required,831.1,6.6,internal|truck,Saarstahl,Aubert & Duval,ETS Gattefin - internal machining/forming process,ETS Gattefin,Safran Seats / Safran internal group
118,Ens. Tablette repas,nylon,textile_leather,0.0002,0.0002,include_with_review,usable_with_review,medium,primary_complete_needs_validation,lca_mass_requires_review,27592.4,5.5,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe,Safran Seats / Safran internal group
85,Structure ottoman horizontale,Ertalon,polymer_plastic,0.000273,0.0002725,include_exact_component,quantitative_ready,high,primary_ready_topology,,19463.7,5.3,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR,Safran Seats / Safran internal group
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,polymer_plastic,0.000173,0.0001731,include_exact_component,quantitative_ready,high,primary_ready_topology,,20137.9,3.5,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,ESPACE,Safran Seats / Safran internal group
5,Bumper version porte,alliage Cu,copper,0.006,0.006,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,473.3,2.8,internal|truck,Aurubis - copper source assumption,Aurubis,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",electronics_cots,0.0,2.378,topdown_reference_only,scenario_only_review_required,medium_low,primary_complete_needs_validation,baseline_node_is_assumption;lca_mass_low_confidence,3098.0,0.0,internal|rail|truck,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,Krohne,Thales,Safran Seats / Safran internal group
137,Padding (rembourrage),ULTRA LEATHER SMOKE,textile_leather,0.0,0.099,topdown_reference_only,scenario_only_review_required,medium_low,primary_complete_needs_validation,lca_mass_low_confidence,20081.2,0.0,ship|truck,BASF,Ultrafabrics,MGR Foamtex Ltd,Celso SAS,Safran Seats / Safran internal group
149,Ens. Structure porte,velcro,textile_leather,0.0,0.085,topdown_reference_only,scenario_only_review_required,medium_low,primary_complete_needs_validation,baseline_node_is_assumption;lca_mass_low_confidence;raw_material_source_missing,30980.1,0.0,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ACH,Safran Seats / Safran internal group
158,Siége,"Tissu, mousse, polyéthylène",textile_leather,0.0,6.478,topdown_reference_only,scenario_only_review_required,low,primary_complete_needs_validation,lca_mass_low_confidence,28525.1,0.0,ship|truck,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS,Safran Seats / Safran internal group
159,Siége,Moulage plastique,polymer_plastic,0.0,6.69155662,topdown_reference_only,scenario_only_review_required,low,primary_complete_needs_validation,lca_mass_low_confidence,28338.4,0.0,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
160,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.0,0.099,topdown_reference_only,scenario_only_review_required,medium_low,primary_complete_needs_validation,lca_mass_low_confidence,28525.1,0.0,ship|truck,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS,Safran Seats / Safran internal group
161,Siége,65% aluminium,aluminium,0.0,75.378147576,topdown_reference_only,usable_with_review,medium,primary_complete_needs_validation,baseline_node_is_assumption;lca_mass_requires_review;material_certificate_required,26560.0,0.0,internal|ship|truck,Aluminium Corporation of China / Chalco,Euralliage Ile de France,JAMCO Aircraft Interiors - Niigata - internal machining/forming process,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
162,Siége,"16 % Tissu, mousse, polyéthylène",textile_leather,0.0,18.554620942,topdown_reference_only,usable_with_review,medium,primary_complete_needs_validation,lca_mass_requires_review,41408.8,0.0,ship|truck,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
163,Siége,11% Moulage plastique,polymer_plastic,0.0,12.756301898,topdown_reference_only,usable_with_review,medium,primary_complete_needs_validation,baseline_node_is_assumption;lca_mass_requires_review,28338.4,0.0,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
164,Siége,"8% autre (silicium, cuirs synthétique)",textile_leather,0.0,9.277310471,topdown_reference_only,usable_with_review,medium,primary_complete_needs_validation,lca_mass_requires_review,41408.8,0.0,ship|truck,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
165,Siége,"16 % Tissu, mousse",textile_leather,0.0,18.554620942,topdown_reference_only,usable_with_review,medium,primary_complete_needs_validation,baseline_node_is_assumption;lca_mass_requires_review,41408.8,0.0,ship|truck,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
166,siege,titane fibre de carbone,titanium_carbon,0.0,8.927,topdown_reference_only,scenario_only_review_required,low,primary_complete_needs_validation,baseline_node_is_assumption;lca_mass_low_confidence,10667.7,0.0,internal|ship|truck,Toray Industries - carbon fiber upstream source assumption,Toray Industries,Toray Industries,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
168,Siége,"Tissu, mousse, polyéthylène",textile_leather,0.0,6.478,topdown_reference_only,scenario_only_review_required,low,primary_complete_needs_validation,lca_mass_low_confidence,28525.1,0.0,ship|truck,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS,Safran Seats / Safran internal group
169,Siége,"Tissu, mousse, polyéthylène",textile_leather,0.0,6.478,topdown_reference_only,scenario_only_review_required,low,primary_complete_needs_validation,lca_mass_low_confidence,28525.1,0.0,ship|truck,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS,Safran Seats / Safran internal group
170,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.0,0.099,topdown_reference_only,scenario_only_review_required,medium_low,primary_complete_needs_validation,lca_mass_low_confidence,28525.1,0.0,ship|truck,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS,Safran Seats / Safran internal group
171,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.0,0.099,topdown_reference_only,scenario_only_review_required,medium_low,primary_complete_needs_validation,lca_mass_low_confidence,28525.1,0.0,ship|truck,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS,Safran Seats / Safran internal group
172,Siége,Moulage plastique,polymer_plastic,0.0,6.69155662,topdown_reference_only,scenario_only_review_required,low,primary_complete_needs_validation,lca_mass_low_confidence,28338.4,0.0,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
173,Siége,Moulage plastique,polymer_plastic,0.0,6.69155662,topdown_reference_only,scenario_only_review_required,low,primary_complete_needs_validation,lca_mass_low_confidence,28338.4,0.0,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
