policy_name,policy_label,same_week_service_pct,fill_rate_pct,final_backlog_units,peak_backlog_units,total_cost,classical_total_kgCO2e,time_dependent_dlca_total_kgCO2e,dynamic_total_kgCO2e,sddlca_total_kgCO2e,hidden_carbon_vs_td_dlca,hidden_carbon_vs_dynamic,hidden_carbon_vs_classical
rt52_rr30_fg16_bq14_air5_8_std,RT52 RR30 FG16 BQ14 Air5/8 STD,90.53,93.57,43.31,58.62,68478.56,18339.05,18226.49,18226.49,22003.44,3776.95,3776.95,3664.38
rt52_rr30_fg16_bq14_air5_8_ca,RT52 RR30 FG16 BQ14 Air5/8 CA,87.52,91.72,55.8,70.81,72303.77,17981.74,17871.85,17871.85,21883.64,4011.8,4011.8,3901.9
rt52_rr30_fg16_bq14_air8_12_std,RT52 RR30 FG16 BQ14 Air8/12 STD,90.55,93.58,43.27,58.59,68264.38,18336.21,18223.81,18223.81,21911.82,3688.02,3688.02,3575.61
rt52_rr30_fg16_bq14_air8_12_ca,RT52 RR30 FG16 BQ14 Air8/12 CA,87.54,91.74,55.71,70.71,72081.43,17980.91,17870.83,17870.83,21798.25,3927.42,3927.42,3817.34
rt52_rr30_fg16_bq16_air1_3_std,RT52 RR30 FG16 BQ16 Air1/3 STD,90.31,93.46,44.09,59.42,68793.16,18323.44,18213.11,18213.11,22238.66,4025.55,4025.55,3915.23
rt52_rr30_fg16_bq16_air1_3_ca,RT52 RR30 FG16 BQ16 Air1/3 CA,87.83,92.04,53.66,68.28,72364.93,18049.12,17938.52,17938.52,22211.31,4272.78,4272.78,4162.18
rt52_rr30_fg16_bq16_air3_6_std,RT52 RR30 FG16 BQ16 Air3/6 STD,90.33,93.47,44.04,59.37,68542.38,18321.04,18211.47,18211.47,22135.05,3923.58,3923.58,3814.01
rt52_rr30_fg16_bq16_air3_6_ca,RT52 RR30 FG16 BQ16 Air3/6 CA,87.85,92.06,53.55,68.18,71840.59,18044.93,17934.07,17934.07,22001.86,4067.79,4067.79,3956.93
rt52_rr30_fg16_bq16_air5_8_std,RT52 RR30 FG16 BQ16 Air5/8 STD,90.33,93.47,44.04,59.37,68542.38,18321.04,18211.47,18211.47,22135.05,3923.58,3923.58,3814.01
rt52_rr30_fg16_bq16_air5_8_ca,RT52 RR30 FG16 BQ16 Air5/8 CA,87.85,92.06,53.55,68.18,71840.59,18044.93,17934.07,17934.07,22001.86,4067.79,4067.79,3956.93
rt52_rr30_fg16_bq16_air8_12_std,RT52 RR30 FG16 BQ16 Air8/12 STD,90.35,93.47,44.01,59.33,68330.34,18318.37,18208.87,18208.87,22043.06,3834.19,3834.19,3724.69
rt52_rr30_fg16_bq16_air8_12_ca,RT52 RR30 FG16 BQ16 Air8/12 CA,87.87,92.07,53.47,68.09,71621.55,18043.55,17932.66,17932.66,21915.88,3983.22,3983.22,3872.33
rt52_rr30_fg20_bq10_air1_3_std,RT52 RR30 FG20 BQ10 Air1/3 STD,90.97,93.7,42.47,57.02,67368.92,18362.57,18267.93,18267.93,21918.32,3650.38,3650.38,3555.75
rt52_rr30_fg20_bq10_air1_3_ca,RT52 RR30 FG20 BQ10 Air1/3 CA,90.61,93.26,45.43,60.08,68801.53,18276.19,18171.86,18171.86,21776.02,3604.16,3604.16,3499.84
rt52_rr30_fg20_bq10_air3_6_std,RT52 RR30 FG20 BQ10 Air3/6 STD,91.0,93.71,42.37,56.94,67130.8,18361.55,18266.82,18266.82,21823.95,3557.13,3557.13,3462.4
rt52_rr30_fg20_bq10_air3_6_ca,RT52 RR30 FG20 BQ10 Air3/6 CA,90.61,93.26,45.43,60.08,68801.53,18276.19,18171.86,18171.86,21776.02,3604.16,3604.16,3499.84
rt52_rr30_fg20_bq10_air5_8_std,RT52 RR30 FG20 BQ10 Air5/8 STD,91.0,93.71,42.37,56.94,67130.8,18361.55,18266.82,18266.82,21823.95,3557.13,3557.13,3462.4
rt52_rr30_fg20_bq10_air5_8_ca,RT52 RR30 FG20 BQ10 Air5/8 CA,90.63,93.27,45.34,60.0,68583.52,18275.07,18170.63,18170.63,21689.92,3519.29,3519.29,3414.84
rt52_rr30_fg20_bq10_air8_12_std,RT52 RR30 FG20 BQ10 Air8/12 STD,87.46,92.84,48.28,63.95,68221.91,18194.08,18101.39,18101.39,21945.88,3844.49,3844.49,3751.8
rt52_rr30_fg20_bq10_air8_12_ca,RT52 RR30 FG20 BQ10 Air8/12 CA,87.05,92.41,51.18,66.84,69656.94,18109.41,18006.9,18006.9,21813.66,3806.75,3806.75,3704.25
rt52_rr30_fg20_bq12_air1_3_std,RT52 RR30 FG20 BQ12 Air1/3 STD,91.08,93.96,40.74,55.62,66888.83,18415.57,18321.3,18321.3,22035.15,3713.85,3713.85,3619.58
rt52_rr30_fg20_bq12_air1_3_ca,RT52 RR30 FG20 BQ12 Air1/3 CA,90.77,93.61,43.07,58.04,68263.72,18347.13,18242.19,18242.19,21896.6,3654.41,3654.41,3549.46
rt52_rr30_fg20_bq12_air3_6_std,RT52 RR30 FG20 BQ12 Air3/6 STD,91.11,93.97,40.65,55.53,66653.8,18414.46,18320.06,18320.06,21940.51,3620.45,3620.45,3526.05
rt52_rr30_fg20_bq12_air3_6_ca,RT52 RR30 FG20 BQ12 Air3/6 CA,90.77,93.61,43.07,58.04,68263.72,18347.13,18242.19,18242.19,21896.6,3654.41,3654.41,3549.46
rt52_rr30_fg20_bq12_air5_8_std,RT52 RR30 FG20 BQ12 Air5/8 STD,91.11,93.97,40.65,55.53,66653.8,18414.46,18320.06,18320.06,21940.51,3620.45,3620.45,3526.05
rt52_rr30_fg20_bq12_air5_8_ca,RT52 RR30 FG20 BQ12 Air5/8 CA,90.8,93.62,43.01,58.01,68053.76,18345.26,18240.31,18240.31,21809.53,3569.21,3569.21,3464.27
rt52_rr30_fg20_bq12_air8_12_std,RT52 RR30 FG20 BQ12 Air8/12 STD,88.9,94.32,38.31,55.5,66707.19,18491.73,18386.61,18386.61,22541.32,4154.71,4154.71,4049.59
rt52_rr30_fg20_bq12_air8_12_ca,RT52 RR30 FG20 BQ12 Air8/12 CA,88.47,93.88,41.22,58.4,68144.54,18407.08,18292.05,18292.05,22409.75,4117.7,4117.7,4002.67
rt52_rr30_fg20_bq14_air1_3_std,RT52 RR30 FG20 BQ14 Air1/3 STD,91.15,94.2,39.08,54.39,66376.12,18465.83,18371.57,18371.57,22161.0,3789.43,3789.43,3695.16
rt52_rr30_fg20_bq14_air1_3_ca,RT52 RR30 FG20 BQ14 Air1/3 CA,90.7,93.73,42.25,57.57,67952.16,18373.39,18270.63,18270.63,22008.68,3738.05,3738.05,3635.29
rt52_rr30_fg20_bq14_air3_6_std,RT52 RR30 FG20 BQ14 Air3/6 STD,91.17,94.21,39.04,54.36,66149.9,18463.17,18369.07,18369.07,22064.51,3695.44,3695.44,3601.34
rt52_rr30_fg20_bq14_air3_6_ca,RT52 RR30 FG20 BQ14 Air3/6 CA,90.7,93.73,42.25,57.57,67952.16,18373.39,18270.63,18270.63,22008.68,3738.05,3738.05,3635.29
rt52_rr30_fg20_bq14_air5_8_std,RT52 RR30 FG20 BQ14 Air5/8 STD,91.17,94.21,39.04,54.36,66149.9,18463.17,18369.07,18369.07,22064.51,3695.44,3695.44,3601.34
rt52_rr30_fg20_bq14_air5_8_ca,RT52 RR30 FG20 BQ14 Air5/8 CA,90.72,93.74,42.22,57.54,67746.76,18370.5,18267.89,18267.89,21920.55,3652.65,3652.65,3550.04
rt52_rr30_fg20_bq14_air8_12_std,RT52 RR30 FG20 BQ14 Air8/12 STD,88.81,92.89,47.9,62.9,68008.15,18208.46,18129.06,18129.06,21955.24,3826.18,3826.18,3746.78
rt52_rr30_fg20_bq14_air8_12_ca,RT52 RR30 FG20 BQ14 Air8/12 CA,88.38,92.45,50.88,65.89,69466.35,18121.53,18032.32,18032.32,21819.97,3787.66,3787.66,3698.44
rt52_rr30_fg20_bq16_air1_3_std,RT52 RR30 FG20 BQ16 Air1/3 STD,90.97,94.1,39.74,55.07,66499.72,18450.02,18359.32,18359.32,22292.62,3933.3,3933.3,3842.6
rt52_rr30_fg20_bq16_air1_3_ca,RT52 RR30 FG20 BQ16 Air1/3 CA,90.51,93.62,42.98,58.31,68018.43,18355.57,18255.71,18255.71,22139.86,3884.15,3884.15,3784.29
rt52_rr30_fg20_bq16_air3_6_std,RT52 RR30 FG20 BQ16 Air3/6 STD,90.99,94.11,39.71,55.04,66275.67,18447.24,18356.67,18356.67,22195.88,3839.21,3839.21,3748.64
rt52_rr30_fg20_bq16_air3_6_ca,RT52 RR30 FG20 BQ16 Air3/6 CA,90.51,93.62,42.98,58.31,68018.43,18355.57,18255.71,18255.71,22139.86,3884.15,3884.15,3784.29
rt52_rr30_fg20_bq16_air5_8_std,RT52 RR30 FG20 BQ16 Air5/8 STD,90.99,94.11,39.71,55.04,66275.67,18447.24,18356.67,18356.67,22195.88,3839.21,3839.21,3748.64
rt52_rr30_fg20_bq16_air5_8_ca,RT52 RR30 FG20 BQ16 Air5/8 CA,90.53,93.63,42.95,58.27,67815.08,18352.85,18253.05,18253.05,22051.36,3798.32,3798.32,3698.52
rt52_rr30_fg20_bq16_air8_12_std,RT52 RR30 FG20 BQ16 Air8/12 STD,89.21,93.34,44.89,59.61,67423.55,18292.04,18210.93,18210.93,22085.17,3874.24,3874.24,3793.13
rt52_rr30_fg20_bq16_air8_12_ca,RT52 RR30 FG20 BQ16 Air8/12 CA,88.72,92.79,48.59,63.2,68995.63,18185.86,18095.28,18095.28,21938.7,3843.42,3843.42,3752.84
rt52_rr30_fg24_bq10_air1_3_std,RT52 RR30 FG24 BQ10 Air1/3 STD,91.59,94.31,38.37,52.94,65256.28,18484.7,18408.71,18408.71,22033.73,3625.02,3625.02,3549.03
rt52_rr30_fg24_bq10_air1_3_ca,RT52 RR30 FG24 BQ10 Air1/3 CA,87.3,92.58,50.0,65.66,69460.68,18156.59,18067.26,18067.26,22042.08,3974.82,3974.82,3885.49
rt52_rr30_fg24_bq10_air3_6_std,RT52 RR30 FG24 BQ10 Air3/6 STD,88.06,93.43,44.28,59.95,66347.39,18317.28,18243.29,18243.29,22155.67,3912.38,3912.38,3838.39
rt52_rr30_fg24_bq10_air3_6_ca,RT52 RR30 FG24 BQ10 Air3/6 CA,87.32,92.59,49.95,65.6,69220.36,18154.33,18066.11,18066.11,21941.35,3875.24,3875.24,3787.02
rt52_rr30_fg24_bq10_air5_8_std,RT52 RR30 FG24 BQ10 Air5/8 STD,88.06,93.43,44.28,59.95,66347.39,18317.28,18243.29,18243.29,22155.67,3912.38,3912.38,3838.39
rt52_rr30_fg24_bq10_air5_8_ca,RT52 RR30 FG24 BQ10 Air5/8 CA,87.32,92.59,49.95,65.6,69220.36,18154.33,18066.11,18066.11,21941.35,3875.24,3875.24,3787.02
rt52_rr30_fg24_bq10_air8_12_std,RT52 RR30 FG24 BQ10 Air8/12 STD,87.98,93.44,44.19,59.88,66108.14,18316.01,18242.57,18242.57,22069.42,3826.85,3826.85,3753.41
rt52_rr30_fg24_bq10_air8_12_ca,RT52 RR30 FG24 BQ10 Air8/12 CA,87.37,92.61,49.82,65.46,69022.59,18154.26,18065.89,18065.89,21872.54,3806.64,3806.64,3718.27
rt52_rr30_fg24_bq12_air1_3_std,RT52 RR30 FG24 BQ12 Air1/3 STD,91.7,94.56,36.65,51.53,64779.28,18537.62,18461.95,18461.95,22150.29,3688.34,3688.34,3612.67
rt52_rr30_fg24_bq12_air1_3_ca,RT52 RR30 FG24 BQ12 Air1/3 CA,88.67,94.06,40.05,57.24,67944.41,18453.78,18351.83,18351.83,22638.49,4286.66,4286.66,4184.7
rt52_rr30_fg24_bq12_air3_6_std,RT52 RR30 FG24 BQ12 Air3/6 STD,89.49,94.91,34.31,51.5,64832.67,18614.93,18528.5,18528.5,22751.1,4222.6,4222.6,4136.17
rt52_rr30_fg24_bq12_air3_6_ca,RT52 RR30 FG24 BQ12 Air3/6 CA,88.69,94.07,40.0,57.18,67704.56,18451.49,18350.69,18350.69,22538.04,4187.35,4187.35,4086.55
rt52_rr30_fg24_bq12_air5_8_std,RT52 RR30 FG24 BQ12 Air5/8 STD,89.49,94.91,34.31,51.5,64832.67,18614.93,18528.5,18528.5,22751.1,4222.6,4222.6,4136.17
rt52_rr30_fg24_bq12_air5_8_ca,RT52 RR30 FG24 BQ12 Air5/8 CA,88.69,94.07,40.0,57.18,67704.56,18451.49,18350.69,18350.69,22538.04,4187.35,4187.35,4086.55
rt52_rr30_fg24_bq12_air8_12_std,RT52 RR30 FG24 BQ12 Air8/12 STD,89.61,94.95,34.05,51.44,64501.73,18618.66,18534.59,18534.59,22677.09,4142.5,4142.5,4058.43
rt52_rr30_fg24_bq12_air8_12_ca,RT52 RR30 FG24 BQ12 Air8/12 CA,88.61,93.98,40.6,57.78,67715.58,18431.7,18332.28,18332.28,22465.48,4133.21,4133.21,4033.78
rt52_rr30_fg24_bq14_air1_3_std,RT52 RR30 FG24 BQ14 Air1/3 STD,91.77,94.8,35.04,50.36,64275.38,18586.34,18510.97,18510.97,22274.3,3763.33,3763.33,3687.96
rt52_rr30_fg24_bq14_air1_3_ca,RT52 RR30 FG24 BQ14 Air1/3 CA,88.59,92.63,49.64,64.64,69238.39,18170.38,18094.24,18094.24,22052.16,3957.92,3957.92,3881.78
rt52_rr30_fg24_bq14_air3_6_std,RT52 RR30 FG24 BQ14 Air3/6 STD,89.4,93.49,43.9,58.9,66133.63,18331.68,18270.95,18270.95,22165.03,3894.07,3894.07,3833.35
rt52_rr30_fg24_bq14_air3_6_ca,RT52 RR30 FG24 BQ14 Air3/6 CA,88.59,92.64,49.62,64.62,69007.04,18167.22,18092.21,18092.21,21950.12,3857.91,3857.91,3782.9
rt52_rr30_fg24_bq14_air5_8_std,RT52 RR30 FG24 BQ14 Air5/8 STD,89.4,93.49,43.9,58.9,66133.63,18331.68,18270.95,18270.95,22165.03,3894.07,3894.07,3833.35
rt52_rr30_fg24_bq14_air5_8_ca,RT52 RR30 FG24 BQ14 Air5/8 CA,88.59,92.64,49.62,64.62,69007.04,18167.22,18092.21,18092.21,21950.12,3857.91,3857.91,3782.9
rt52_rr30_fg24_bq14_air8_12_std,RT52 RR30 FG24 BQ14 Air8/12 STD,89.36,93.5,43.8,58.8,65898.68,18330.94,18270.75,18270.75,22080.14,3809.39,3809.39,3749.19
rt52_rr30_fg24_bq14_air8_12_ca,RT52 RR30 FG24 BQ14 Air8/12 CA,88.62,92.65,49.57,64.57,68831.55,18164.92,18089.79,18089.79,21878.06,3788.28,3788.28,3713.15
rt52_rr30_fg24_bq16_air1_3_std,RT52 RR30 FG24 BQ16 Air1/3 STD,91.58,94.7,35.71,51.04,64401.15,18570.44,18498.57,18498.57,22405.67,3907.1,3907.1,3835.23
rt52_rr30_fg24_bq16_air1_3_ca,RT52 RR30 FG24 BQ16 Air1/3 CA,88.91,92.96,47.45,62.06,68788.38,18231.6,18154.98,18154.98,22168.43,4013.45,4013.45,3936.83
rt52_rr30_fg24_bq16_air3_6_std,RT52 RR30 FG24 BQ16 Air3/6 STD,89.81,93.93,40.89,55.61,65549.03,18415.22,18352.83,18352.83,22294.95,3942.13,3942.13,3879.74
rt52_rr30_fg24_bq16_air3_6_ca,RT52 RR30 FG24 BQ16 Air3/6 CA,88.92,92.96,47.42,62.04,68555.31,18228.62,18153.11,18153.11,22066.54,3913.43,3913.43,3837.92
rt52_rr30_fg24_bq16_air5_8_std,RT52 RR30 FG24 BQ16 Air5/8 STD,89.81,93.93,40.89,55.61,65549.03,18415.22,18352.83,18352.83,22294.95,3942.13,3942.13,3879.74
rt52_rr30_fg24_bq16_air5_8_ca,RT52 RR30 FG24 BQ16 Air5/8 CA,88.92,92.96,47.42,62.04,68555.31,18228.62,18153.11,18153.11,22066.54,3913.43,3913.43,3837.92
rt52_rr30_fg24_bq16_air8_12_std,RT52 RR30 FG24 BQ16 Air8/12 STD,89.82,93.96,40.74,55.47,65309.93,18416.79,18354.6,18354.6,22211.04,3856.44,3856.44,3794.25
rt52_rr30_fg24_bq16_air8_12_ca,RT52 RR30 FG24 BQ16 Air8/12 CA,88.94,93.14,46.22,60.83,67988.28,18260.58,18184.5,18184.5,22006.25,3821.74,3821.74,3745.67
rt52_rr34_fg12_bq10_air1_3_std,RT52 RR34 FG12 BQ10 Air1/3 STD,88.88,97.71,15.44,52.09,65385.75,19183.15,18952.98,18952.98,23768.53,4815.55,4815.55,4585.38
rt52_rr34_fg12_bq10_air1_3_ca,RT52 RR34 FG12 BQ10 Air1/3 CA,88.78,94.53,36.88,63.93,71883.95,18553.1,18373.36,18373.36,22926.08,4552.72,4552.72,4372.98
rt52_rr34_fg12_bq10_air3_6_std,RT52 RR34 FG12 BQ10 Air3/6 STD,88.88,97.71,15.44,52.09,65385.75,19183.15,18952.98,18952.98,23768.53,4815.55,4815.55,4585.38
rt52_rr34_fg12_bq10_air3_6_ca,RT52 RR34 FG12 BQ10 Air3/6 CA,88.77,94.54,36.83,63.88,71065.68,18543.33,18363.4,18363.4,22568.64,4205.25,4205.25,4025.31
rt52_rr34_fg12_bq10_air5_8_std,RT52 RR34 FG12 BQ10 Air5/8 STD,88.9,97.73,15.32,51.96,65145.72,19181.82,18952.43,18952.43,23682.65,4730.23,4730.23,4500.83
rt52_rr34_fg12_bq10_air5_8_ca,RT52 RR34 FG12 BQ10 Air5/8 CA,88.77,94.54,36.83,63.88,71065.68,18543.33,18363.4,18363.4,22568.64,4205.25,4205.25,4025.31
rt52_rr34_fg12_bq10_air8_12_std,RT52 RR34 FG12 BQ10 Air8/12 STD,88.9,97.73,15.32,51.96,65145.72,19181.82,18952.43,18952.43,23682.65,4730.23,4730.23,4500.83
rt52_rr34_fg12_bq10_air8_12_ca,RT52 RR34 FG12 BQ10 Air8/12 CA,88.77,94.54,36.83,63.88,71065.68,18543.33,18363.4,18363.4,22568.64,4205.25,4205.25,4025.31
rt52_rr34_fg12_bq12_air1_3_std,RT52 RR34 FG12 BQ12 Air1/3 STD,88.97,98.6,9.4,47.77,64503.94,19368.33,19125.09,19125.09,24348.06,5222.97,5222.97,4979.73
rt52_rr34_fg12_bq12_air1_3_ca,RT52 RR34 FG12 BQ12 Air1/3 CA,88.88,91.65,56.26,71.58,74586.63,17978.19,17858.73,17858.73,22137.67,4278.94,4278.94,4159.48
rt52_rr34_fg12_bq12_air3_6_std,RT52 RR34 FG12 BQ12 Air3/6 STD,88.97,98.6,9.4,47.77,64503.94,19368.33,19125.09,19125.09,24348.06,5222.97,5222.97,4979.73
rt52_rr34_fg12_bq12_air3_6_ca,RT52 RR34 FG12 BQ12 Air3/6 CA,88.86,91.66,56.22,71.53,73765.88,17968.4,17848.22,17848.22,21767.12,3918.9,3918.9,3798.71
rt52_rr34_fg12_bq12_air5_8_std,RT52 RR34 FG12 BQ12 Air5/8 STD,88.98,98.62,9.28,47.69,64265.55,19367.99,19125.53,19125.53,24262.79,5137.26,5137.26,4894.8
rt52_rr34_fg12_bq12_air5_8_ca,RT52 RR34 FG12 BQ12 Air5/8 CA,88.86,91.66,56.22,71.53,73765.88,17968.4,17848.22,17848.22,21767.12,3918.9,3918.9,3798.71
rt52_rr34_fg12_bq12_air8_12_std,RT52 RR34 FG12 BQ12 Air8/12 STD,88.98,98.64,9.16,47.62,64029.06,19367.7,19125.85,19125.85,24175.28,5049.43,5049.43,4807.58
rt52_rr34_fg12_bq12_air8_12_ca,RT52 RR34 FG12 BQ12 Air8/12 CA,88.32,94.44,37.49,65.86,71587.33,18521.97,18340.12,18340.12,22570.71,4230.6,4230.6,4048.74
rt52_rr34_fg12_bq14_air1_3_std,RT52 RR34 FG12 BQ14 Air1/3 STD,89.32,99.63,2.47,45.37,63912.65,19577.34,19314.48,19314.48,24847.06,5532.58,5532.58,5269.73
rt52_rr34_fg12_bq14_air1_3_ca,RT52 RR34 FG12 BQ14 Air1/3 CA,88.98,91.66,56.19,71.5,74682.75,17980.9,17861.77,17861.77,22217.0,4355.24,4355.24,4236.11
rt52_rr34_fg12_bq14_air3_6_std,RT52 RR34 FG12 BQ14 Air3/6 STD,89.32,99.63,2.47,45.37,63912.65,19577.34,19314.48,19314.48,24847.06,5532.58,5532.58,5269.73
rt52_rr34_fg12_bq14_air3_6_ca,RT52 RR34 FG12 BQ14 Air3/6 CA,89.0,91.68,56.05,71.36,73824.74,17973.87,17854.08,17854.08,21850.83,3996.75,3996.75,3876.96
rt52_rr34_fg12_bq14_air5_8_std,RT52 RR34 FG12 BQ14 Air5/8 STD,89.34,99.65,2.37,45.3,63675.71,19576.16,19314.39,19314.39,24759.99,5445.6,5445.6,5183.83
rt52_rr34_fg12_bq14_air5_8_ca,RT52 RR34 FG12 BQ14 Air5/8 CA,89.0,91.68,56.05,71.36,73824.74,17973.87,17854.08,17854.08,21850.83,3996.75,3996.75,3876.96
rt52_rr34_fg12_bq14_air8_12_std,RT52 RR34 FG12 BQ14 Air8/12 STD,89.34,99.65,2.37,45.3,63675.71,19576.16,19314.39,19314.39,24759.99,5445.6,5445.6,5183.83
rt52_rr34_fg12_bq14_air8_12_ca,RT52 RR34 FG12 BQ14 Air8/12 CA,89.78,92.47,50.75,66.07,71862.05,18125.91,18001.23,18001.23,21992.78,3991.56,3991.56,3866.88
rt52_rr34_fg12_bq16_air1_3_std,RT52 RR34 FG12 BQ16 Air1/3 STD,91.35,93.96,40.7,56.0,66673.04,18421.39,18323.73,18323.73,22385.63,4061.91,4061.91,3964.24
rt52_rr34_fg12_bq16_air1_3_ca,RT52 RR34 FG12 BQ16 Air1/3 CA,89.31,91.95,54.28,69.58,74060.96,18036.38,17919.21,17919.21,22315.78,4396.57,4396.57,4279.4
rt52_rr34_fg12_bq16_air3_6_std,RT52 RR34 FG12 BQ16 Air3/6 STD,91.35,93.96,40.7,56.0,66673.04,18421.39,18323.73,18323.73,22385.63,4061.91,4061.91,3964.24
rt52_rr34_fg12_bq16_air3_6_ca,RT52 RR34 FG12 BQ16 Air3/6 CA,89.22,91.86,54.9,70.2,73542.38,18008.83,17889.13,17889.13,21943.52,4054.39,4054.39,3934.69
rt52_rr34_fg12_bq16_air5_8_std,RT52 RR34 FG12 BQ16 Air5/8 STD,91.39,93.99,40.47,55.77,66396.72,18424.35,18327.16,18327.16,22303.74,3976.58,3976.58,3879.39
rt52_rr34_fg12_bq16_air5_8_ca,RT52 RR34 FG12 BQ16 Air5/8 CA,89.22,91.86,54.9,70.2,73542.38,18008.83,17889.13,17889.13,21943.52,4054.39,4054.39,3934.69
rt52_rr34_fg12_bq16_air8_12_std,RT52 RR34 FG12 BQ16 Air8/12 STD,91.39,93.99,40.47,55.77,66396.72,18424.35,18327.16,18327.16,22303.74,3976.58,3976.58,3879.39
rt52_rr34_fg12_bq16_air8_12_ca,RT52 RR34 FG12 BQ16 Air8/12 CA,89.22,91.86,54.87,70.17,73392.91,18005.81,17885.8,17885.8,21874.19,3988.39,3988.39,3868.38
rt52_rr34_fg16_bq10_air1_3_std,RT52 RR34 FG16 BQ10 Air1/3 STD,89.24,98.06,13.07,49.74,64332.91,19256.48,19034.93,19034.93,23873.62,4838.69,4838.69,4617.13
rt52_rr34_fg16_bq10_air1_3_ca,RT52 RR34 FG16 BQ10 Air1/3 CA,89.24,94.85,34.73,61.78,69905.84,18606.41,18437.64,18437.64,22643.89,4206.25,4206.25,4037.48
rt52_rr34_fg16_bq10_air3_6_std,RT52 RR34 FG16 BQ10 Air3/6 STD,89.26,98.08,12.95,49.61,64067.11,19256.16,19036.03,19036.03,23779.0,4742.97,4742.97,4522.84
rt52_rr34_fg16_bq10_air3_6_ca,RT52 RR34 FG16 BQ10 Air3/6 CA,89.24,94.85,34.73,61.78,69905.84,18606.41,18437.64,18437.64,22643.89,4206.25,4206.25,4037.48
rt52_rr34_fg16_bq10_air5_8_std,RT52 RR34 FG16 BQ10 Air5/8 STD,89.26,98.08,12.95,49.61,64067.11,19256.16,19036.03,19036.03,23779.0,4742.97,4742.97,4522.84
rt52_rr34_fg16_bq10_air5_8_ca,RT52 RR34 FG16 BQ10 Air5/8 CA,89.24,94.85,34.73,61.78,69905.84,18606.41,18437.64,18437.64,22643.89,4206.25,4206.25,4037.48
rt52_rr34_fg16_bq10_air8_12_std,RT52 RR34 FG16 BQ10 Air8/12 STD,89.27,98.1,12.82,49.47,63867.02,19255.82,19035.78,19035.78,23706.13,4670.34,4670.34,4450.31
rt52_rr34_fg16_bq10_air8_12_ca,RT52 RR34 FG16 BQ10 Air8/12 CA,89.27,94.91,34.33,61.37,69644.94,18613.67,18443.82,18443.82,22571.75,4127.94,4127.94,3958.08
rt52_rr34_fg16_bq12_air1_3_std,RT52 RR34 FG16 BQ12 Air1/3 STD,89.56,99.19,5.48,43.84,62566.78,19477.92,19242.27,19242.27,24346.96,5104.69,5104.69,4869.04
rt52_rr34_fg16_bq12_air1_3_ca,RT52 RR34 FG16 BQ12 Air1/3 CA,89.46,92.04,53.67,68.99,72463.11,18043.01,17933.56,17933.56,21857.04,3923.48,3923.48,3814.03
rt52_rr34_fg16_bq12_air3_6_std,RT52 RR34 FG16 BQ12 Air3/6 STD,89.56,99.19,5.48,43.84,62566.78,19477.92,19242.27,19242.27,24346.96,5104.69,5104.69,4869.04
rt52_rr34_fg16_bq12_air3_6_ca,RT52 RR34 FG16 BQ12 Air3/6 CA,89.46,92.04,53.67,68.99,72463.11,18043.01,17933.56,17933.56,21857.04,3923.48,3923.48,3814.03
rt52_rr34_fg16_bq12_air5_8_std,RT52 RR34 FG16 BQ12 Air5/8 STD,89.56,99.19,5.48,43.84,62566.78,19477.92,19242.27,19242.27,24346.96,5104.69,5104.69,4869.04
rt52_rr34_fg16_bq12_air5_8_ca,RT52 RR34 FG16 BQ12 Air5/8 CA,89.46,92.04,53.67,68.99,72463.11,18043.01,17933.56,17933.56,21857.04,3923.48,3923.48,3814.03
rt52_rr34_fg16_bq12_air8_12_std,RT52 RR34 FG16 BQ12 Air8/12 STD,89.56,99.2,5.36,43.77,62357.81,19477.32,19241.78,19241.78,24268.28,5026.5,5026.5,4790.96
rt52_rr34_fg16_bq12_air8_12_ca,RT52 RR34 FG16 BQ12 Air8/12 CA,89.0,94.9,34.39,62.67,70206.1,18612.88,18441.24,18441.24,22642.98,4201.74,4201.74,4030.1
rt52_rr34_fg16_bq14_air1_3_std,RT52 RR34 FG16 BQ14 Air1/3 STD,90.06,100.0,0.0,40.91,61721.99,19699.34,19447.12,19447.12,24846.85,5399.73,5399.73,5147.52
rt52_rr34_fg16_bq14_air1_3_ca,RT52 RR34 FG16 BQ14 Air1/3 CA,89.44,92.06,53.55,68.86,72527.44,18048.24,17939.21,17939.21,21943.73,4004.51,4004.51,3895.48
rt52_rr34_fg16_bq14_air3_6_std,RT52 RR34 FG16 BQ14 Air3/6 STD,90.06,100.0,0.0,40.91,61721.99,19699.34,19447.12,19447.12,24846.85,5399.73,5399.73,5147.52
rt52_rr34_fg16_bq14_air3_6_ca,RT52 RR34 FG16 BQ14 Air3/6 CA,89.44,92.06,53.55,68.86,72527.44,18048.24,17939.21,17939.21,21943.73,4004.51,4004.51,3895.48
rt52_rr34_fg16_bq14_air5_8_std,RT52 RR34 FG16 BQ14 Air5/8 STD,90.07,100.0,0.0,40.79,61488.31,19698.72,19447.15,19447.15,24772.96,5325.8,5325.8,5074.24
rt52_rr34_fg16_bq14_air5_8_ca,RT52 RR34 FG16 BQ14 Air5/8 CA,89.44,92.06,53.55,68.86,72527.44,18048.24,17939.21,17939.21,21943.73,4004.51,4004.51,3895.48
rt52_rr34_fg16_bq14_air8_12_std,RT52 RR34 FG16 BQ14 Air8/12 STD,90.07,100.0,0.0,40.79,61191.59,19698.72,19447.15,19447.15,24633.66,5186.51,5186.51,4934.95
