severity,category,record_index,supplier_index,system,component,supplier_name,role_hint,location,normalized_location,country,lat,lon,geocode_provider,geocode_query,description,detail
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,65,"28,31",Support manchette équipée,acier,Jamco Philippines (Clark),tier1,Philippines,Philippines,,15.1858,120.5615,manual,"Building N7000, Gil Puyat Ave, Clark Freeport Zone, Pampanga 2023, Philippines",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco philippines clark', 'tier1', 'Philippines') at positions [28, 31]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,65,"34,35",Support manchette équipée,acier,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),"duplicate supplier ('safran', 'oem', 'France') at positions [34, 35]"
MEDIUM,RAW_MATERIALS_EMPTY,66,,Accoudoir allée,Alu,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,66,,Accoudoir allée,Alu,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,66,,Accoudoir allée,Alu,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,66,,Accoudoir allée,Alu,,,,,,,,,,,"role 'tier1' has 2 primary suppliers: ['MGA Villeneuve St Lot', 'SENIOR AEROSPACE']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,66,"5,7",Accoudoir allée,Alu,Euralliage,tier3_first_transformation,France,France,,45.6310639,4.8237687,nominatim,"19, Rue Maurice Petit, Sérézin-du-Rhône, Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69360, France",Fonderie — 1ère transformation,"duplicate supplier ('euralliage', 'tier3_first_transformation', 'France') at positions [5, 7]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,66,"12,16",Accoudoir allée,Alu,Figeac Aéro,tier1,France,France,,44.590773,2.0333182,cache:nominatim,"Figeac Aéro, France",Aéronautique — structures usinées (Tier 1),"duplicate supplier ('figeac aero', 'tier1', 'France') at positions [12, 16]"
MEDIUM,RAW_MATERIALS_EMPTY,67,,Ens. Palette optimisée,Alu,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,67,,Ens. Palette optimisée,Alu,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,67,,Ens. Palette optimisée,Alu,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,67,,Ens. Palette optimisée,Alu,,,,,,,,,,,"role 'tier1' has 2 primary suppliers: ['MGA Villeneuve St Lot', 'SENIOR AEROSPACE']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,67,"5,7",Ens. Palette optimisée,Alu,Euralliage,tier3_first_transformation,France,France,,45.6310639,4.8237687,nominatim,"19, Rue Maurice Petit, Sérézin-du-Rhône, Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69360, France",Fonderie — 1ère transformation,"duplicate supplier ('euralliage', 'tier3_first_transformation', 'France') at positions [5, 7]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,67,"12,16",Ens. Palette optimisée,Alu,Figeac Aéro,tier1,France,France,,44.590773,2.0333182,cache:nominatim,"Figeac Aéro, France",Aéronautique — structures usinées (Tier 1),"duplicate supplier ('figeac aero', 'tier1', 'France') at positions [12, 16]"
MEDIUM,RAW_MATERIALS_EMPTY,68,,Ensemble porte,Alu,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,68,,Ensemble porte,Alu,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,68,,Ensemble porte,Alu,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,68,,Ensemble porte,Alu,,,,,,,,,,,"role 'tier1' has 2 primary suppliers: ['MGA Villeneuve St Lot', 'SENIOR AEROSPACE']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,68,"5,7",Ensemble porte,Alu,Euralliage,tier3_first_transformation,France,France,,45.6310639,4.8237687,nominatim,"19, Rue Maurice Petit, Sérézin-du-Rhône, Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69360, France",Fonderie — 1ère transformation,"duplicate supplier ('euralliage', 'tier3_first_transformation', 'France') at positions [5, 7]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,68,"12,16",Ensemble porte,Alu,Figeac Aéro,tier1,France,France,,44.590773,2.0333182,cache:nominatim,"Figeac Aéro, France",Aéronautique — structures usinées (Tier 1),"duplicate supplier ('figeac aero', 'tier1', 'France') at positions [12, 16]"
MEDIUM,RAW_MATERIALS_EMPTY,69,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,69,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,69,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,69,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,,,"role 'tier1' has 6 primary suppliers: ['ESPACE', 'GATTEFIN', 'Segnere Aero SAS', 'MGA Villeneuve St Lot', 'SENIOR AEROSPACE', 'JV Group']"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,69,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,,,"role 'oem' has 2 primary suppliers: ['SAFRAN', 'Safran']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,69,"6,10",Ens. Structure fauteuil,A5086 - Aluminium,Thyssen group,tier3_first_transformation,France,France,,48.758488,1.925304,nominatim,"6, Avenue Gutenberg, Zones d'activités de Pariwest, Maurepas, Rambouillet, Yvelines, Île-de-France, France métropolitaine, 78310, France",Métallurgie — 1ère transformation,"duplicate supplier ('thyssen group', 'tier3_first_transformation', 'France') at positions [6, 10]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,69,"12,16",Ens. Structure fauteuil,A5086 - Aluminium,Figeac Aero,tier1,France,France,,44.590773,2.0333182,cache:nominatim,"Figeac Aero, France",Aéronautique — structures usinées (Tier 1),"duplicate supplier ('figeac aero', 'tier1', 'France') at positions [12, 16]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,69,"13,24",Ens. Structure fauteuil,A5086 - Aluminium,GATTEFIN,tier1,France,France,,47.1426393,2.2372016,cache:nominatim,"GATTEFIN, France",Pièces métalliques — Tier 1,"duplicate supplier ('gattefin', 'tier1', 'France') at positions [13, 24]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,69,"20,21",Ens. Structure fauteuil,A5086 - Aluminium,JV Group,tier1,France,France,,44.854094,-0.4991053,cache:nominatim,"JV Group, France",Usinage aéronautique — Tier 1,"duplicate supplier ('jv group', 'tier1', 'France') at positions [20, 21]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,69,"22,25",Ens. Structure fauteuil,A5086 - Aluminium,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),"duplicate supplier ('safran', 'oem', 'France') at positions [22, 25]"
MEDIUM,RAW_MATERIALS_EMPTY,70,,Manchette acc. Mobile,Alu,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,70,,Manchette acc. Mobile,Alu,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,70,,Manchette acc. Mobile,Alu,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,70,,Manchette acc. Mobile,Alu,,,,,,,,,,,"role 'tier1' has 2 primary suppliers: ['MGA Villeneuve St Lot', 'SENIOR AEROSPACE']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,70,"5,7",Manchette acc. Mobile,Alu,Euralliage,tier3_first_transformation,France,France,,45.6310639,4.8237687,nominatim,"19, Rue Maurice Petit, Sérézin-du-Rhône, Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69360, France",Fonderie — 1ère transformation,"duplicate supplier ('euralliage', 'tier3_first_transformation', 'France') at positions [5, 7]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,70,"12,16",Manchette acc. Mobile,Alu,Figeac Aéro,tier1,France,France,,44.590773,2.0333182,cache:nominatim,"Figeac Aéro, France",Aéronautique — structures usinées (Tier 1),"duplicate supplier ('figeac aero', 'tier1', 'France') at positions [12, 16]"
MEDIUM,RAW_MATERIALS_EMPTY,71,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,71,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,71,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,72,,Ens. Structure fauteuil,acier,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,72,,Ens. Structure fauteuil,acier,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,72,,Ens. Structure fauteuil,acier,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,72,,Ens. Structure fauteuil,acier,,,,,,,,,,,"role 'tier1' has 7 primary suppliers: ['ESPACE', 'GATTEFIN', 'AM SAFE', 'MGA Villeneuve St Lot', 'Segnere Aero SAS', 'SENIOR AEROSPACE', 'JV Group']"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,72,,Ens. Structure fauteuil,acier,,,,,,,,,,,"role 'oem' has 2 primary suppliers: ['SAFRAN', 'Safran']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,72,"5,11",Ens. Structure fauteuil,acier,Thyssen group,tier3_first_transformation,France,France,,48.758488,1.925304,nominatim,"6, Avenue Gutenberg, Zones d'activités de Pariwest, Maurepas, Rambouillet, Yvelines, Île-de-France, France métropolitaine, 78310, France",Métallurgie — 1ère transformation,"duplicate supplier ('thyssen group', 'tier3_first_transformation', 'France') at positions [5, 11]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,72,"6,8",Ens. Structure fauteuil,acier,TATA Steel,tier4_raw_material,Inde,India,,22.8025,86.1854,manual,"Tata Steel Plant, P.O. Bistupur, Jamshedpur 831001, Jharkhand, India",Acier primaire,"duplicate supplier ('tata steel', 'tier4_raw_material', 'India') at positions [6, 8]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,72,"7,12",Ens. Structure fauteuil,acier,Aubert&Duval,tier3_first_transformation,France,France,,45.9235016,2.8415731,cache:nominatim,"Aubert&Duval, France",Forge / métallurgie (1ère transformation),"duplicate supplier ('aubert duval', 'tier3_first_transformation', 'France') at positions [7, 12]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,72,"26,29",Ens. Structure fauteuil,acier,Jamco Niigata,tier1,Japan,Japan,,38.0218,139.4275,manual,"9-113 Shimizu, Tainai, Niigata 959-2600, Japan",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco niigata', 'tier1', 'Japan') at positions [26, 29]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,72,"27,30",Ens. Structure fauteuil,acier,Jamco Miyazaki,tier1,Japan,Japan,,31.8961,131.3429,manual,"8136-7 Tanocho-Ko, Miyazaki 889-1701, Japan",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco miyazaki', 'tier1', 'Japan') at positions [27, 30]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,72,"28,31",Ens. Structure fauteuil,acier,Jamco Philippines (Clark),tier1,Philippines,Philippines,,15.1858,120.5615,manual,"Building N7000, Gil Puyat Ave, Clark Freeport Zone, Pampanga 2023, Philippines",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco philippines clark', 'tier1', 'Philippines') at positions [28, 31]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,72,"34,35",Ens. Structure fauteuil,acier,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),"duplicate supplier ('safran', 'oem', 'France') at positions [34, 35]"
MEDIUM,RAW_MATERIALS_EMPTY,73,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,73,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,73,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,73,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,,,"role 'tier2_second_transformation' has 2 primary suppliers: ['E2IP', 'E2IP']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,73,"1,5",SFCU (Seat Function Control Unit),Clavier,E2IP,tier2_second_transformation,Canada,Canada,,45.4583422,-73.7033771,nominatim,"1455, 32e Avenue, Lachine, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H4T 1T1, Canada",Interfaces électroniques / sous-ensembles,"duplicate supplier ('e2ip', 'tier2_second_transformation', 'Canada') at positions [1, 5]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,73,"2,6,8",SFCU (Seat Function Control Unit),Clavier,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),"duplicate supplier ('safran', 'oem', 'France') at positions [2, 6, 8]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,73,"4,7",SFCU (Seat Function Control Unit),Clavier,Valeo,tier1,France,France,,45.9284333,5.7217314,cache:nominatim,"Valeo, France",Équipementier systèmes électroniques — Tier 1,"duplicate supplier ('valeo', 'tier1', 'France') at positions [4, 7]"
MEDIUM,RAW_MATERIALS_EMPTY,74,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,74,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,74,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,74,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,,,"role 'oem' has 2 primary suppliers: ['SAFRAN', 'Safran']"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,74,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,,,"role 'tier1' has 2 primary suppliers: ['LIEBHERR', 'THALES']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,74,"10,13",Commande actionnement ECU,Commande actionnement ECU,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),"duplicate supplier ('safran', 'oem', 'France') at positions [10, 13]"
MEDIUM,RAW_MATERIALS_EMPTY,75,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,75,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,75,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,75,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,,,"role 'tier4_raw_material' has 2 primary suppliers: ['SABIC', 'SABIC']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,75,"1,2",bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,SABIC,tier4_raw_material,Arabie Saoudite,Saudi Arabia,,24.7136,46.6753,manual,"SABIC headquarters, Riyadh, Saudi Arabia",Pétrochimie (PE/PP/Lexan),"duplicate supplier ('sabic', 'tier4_raw_material', 'Saudi Arabia') at positions [1, 2]"
MEDIUM,RAW_MATERIALS_EMPTY,76,,Manchette acc. Mobile,cuir,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,76,,Manchette acc. Mobile,cuir,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,76,,Manchette acc. Mobile,cuir,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,76,,Manchette acc. Mobile,cuir,,,,,,,,,,,"role 'tier3_first_transformation' has 3 primary suppliers: ['La Filière Française du cuir', 'Gruppo Mastrotto (Arzignano, Italie)', 'La Filière Française du cuir']"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,76,,Manchette acc. Mobile,cuir,,,,,,,,,,,"role 'tier1' has 2 primary suppliers: ['MGA Villeneuve St Lot', 'ACH']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,76,"1,5",Manchette acc. Mobile,cuir,La Filière Française du cuir,tier3_first_transformation,France,France,,48.8724514,2.3114773,nominatim,"105, Rue du Faubourg Saint-Honoré, Quartier du Faubourg-du-Roule, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France",Cuir / regroupement industriel,"duplicate supplier ('la filiere francaise du cuir', 'tier3_first_transformation', 'France') at positions [1, 5]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,76,"2,6",Manchette acc. Mobile,cuir,Maison Fichet,tier2_second_transformation,France,France,,48.8706283,2.3633735,cache:nominatim,"Maison Fichet, France",Serrurerie / mobilier industriel,"duplicate supplier ('maison fichet', 'tier2_second_transformation', 'France') at positions [2, 6]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,76,"3,7",Manchette acc. Mobile,cuir,EUREKA SARL DERAYGE SERVICE,tier2_second_transformation,France,France,,44.8549,0.4151,manual,"9 Rue du Général de Gaulle, 24130 Prigonrieux, France",Maintenance / service industriel,"duplicate supplier ('eureka sarl derayge service', 'tier2_second_transformation', 'France') at positions [3, 7]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,76,"4,8",Manchette acc. Mobile,cuir,"Gruppo Mastrotto (Arzignano, Italie)",tier3_first_transformation,Italie,Italy,,45.556,11.341,manual,"Gruppo Mastrotto, Arzignano, Italy",Tannerie — 1ère transformation cuir,"duplicate supplier ('gruppo mastrotto arzignano italie', 'tier3_first_transformation', 'Italy') at positions [4, 8]"
HIGH,TRANSPORT_MODE_NOT_A_TRANSPORT_MODE,76,,Manchette acc. Mobile,cuir,,,,,,,,,,,to_first_transformation.modes contains non-mode value: Interne entreprise
MEDIUM,RAW_MATERIALS_EMPTY,77,,Manchette équipée,cuir,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,77,,Manchette équipée,cuir,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,77,,Manchette équipée,cuir,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,77,,Manchette équipée,cuir,,,,,,,,,,,"role 'tier3_first_transformation' has 3 primary suppliers: ['La Filière Française du cuir', 'Gruppo Mastrotto (Arzignano, Italie)', 'La Filière Française du cuir']"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,77,,Manchette équipée,cuir,,,,,,,,,,,"role 'tier1' has 2 primary suppliers: ['MGA Villeneuve St Lot', 'ACH']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,77,"1,5",Manchette équipée,cuir,La Filière Française du cuir,tier3_first_transformation,France,France,,48.8724514,2.3114773,nominatim,"105, Rue du Faubourg Saint-Honoré, Quartier du Faubourg-du-Roule, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France",Cuir / regroupement industriel,"duplicate supplier ('la filiere francaise du cuir', 'tier3_first_transformation', 'France') at positions [1, 5]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,77,"2,6",Manchette équipée,cuir,Maison Fichet,tier2_second_transformation,France,France,,48.8706283,2.3633735,cache:nominatim,"Maison Fichet, France",Serrurerie / mobilier industriel,"duplicate supplier ('maison fichet', 'tier2_second_transformation', 'France') at positions [2, 6]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,77,"3,7",Manchette équipée,cuir,EUREKA SARL DERAYGE SERVICE,tier2_second_transformation,France,France,,44.8549,0.4151,manual,"9 Rue du Général de Gaulle, 24130 Prigonrieux, France",Maintenance / service industriel,"duplicate supplier ('eureka sarl derayge service', 'tier2_second_transformation', 'France') at positions [3, 7]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,77,"4,8",Manchette équipée,cuir,"Gruppo Mastrotto (Arzignano, Italie)",tier3_first_transformation,Italie,Italy,,45.556,11.341,manual,"Gruppo Mastrotto, Arzignano, Italy",Tannerie — 1ère transformation cuir,"duplicate supplier ('gruppo mastrotto arzignano italie', 'tier3_first_transformation', 'Italy') at positions [4, 8]"
HIGH,TRANSPORT_MODE_NOT_A_TRANSPORT_MODE,77,,Manchette équipée,cuir,,,,,,,,,,,to_first_transformation.modes contains non-mode value: Interne entreprise
MEDIUM,RAW_MATERIALS_EMPTY,78,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,78,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,78,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,78,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,,,"role 'oem' has 2 primary suppliers: ['SAFRAN', 'Safran']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,78,"2,14",Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",Krohne,tier2_second_transformation,Allemagne,Germany,,51.1498261,13.7978466,cache:nominatim,"Krohne, Allemagne",Instrumentation process,"duplicate supplier ('krohne', 'tier2_second_transformation', 'Germany') at positions [2, 14]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,78,"13,19",Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",Baulé - Exsto polymère,tier3_first_transformation,France,France,,45.0506049,5.0835166,nominatim,"Avenue de la Déportation, ZA Allobroges, Romans-sur-Isère, Valence, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, 26100, France",Polyuréthanes techniques — 1ère transformation chimique,"duplicate supplier ('baule exsto polymere', 'tier3_first_transformation', 'France') at positions [13, 19]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,78,"16,21",Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),"duplicate supplier ('safran', 'oem', 'France') at positions [16, 21]"
MEDIUM,RAW_MATERIALS_EMPTY,79,,Accoudoir allée,Ertalon,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,79,,Accoudoir allée,Ertalon,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,79,,Accoudoir allée,Ertalon,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,79,,Accoudoir allée,Ertalon,,,,,,,,,,,"role 'tier2_second_transformation' has 2 primary suppliers: ['Ensinger', 'SUMPAR']"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,79,,Accoudoir allée,Ertalon,,,,,,,,,,,"role 'tier1' has 2 primary suppliers: ['MGA Villeneuve St Lot', 'JV Group']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,79,"3,6",Accoudoir allée,Ertalon,DuPont de Nemours,tier2_second_transformation,USA,USA,,47.7979001,7.190275,nominatim,"DuPont de Nemours, USA",Polymères techniques (Kevlar/Nomex),"duplicate supplier ('dupont de nemours', 'tier2_second_transformation', 'USA') at positions [3, 6]"
MEDIUM,RAW_MATERIALS_EMPTY,80,,Ens. Stowage latéral,Ertalon,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,80,,Ens. Stowage latéral,Ertalon,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,80,,Ens. Stowage latéral,Ertalon,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,80,,Ens. Stowage latéral,Ertalon,,,,,,,,,,,"role 'tier2_second_transformation' has 2 primary suppliers: ['Ensinger', 'SUMPAR']"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,80,,Ens. Stowage latéral,Ertalon,,,,,,,,,,,"role 'tier1' has 2 primary suppliers: ['MGA Villeneuve St Lot', 'JV Group']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,80,"3,6",Ens. Stowage latéral,Ertalon,DuPont de Nemours,tier2_second_transformation,USA,USA,,47.7979001,7.190275,nominatim,"DuPont de Nemours, USA",Polymères techniques (Kevlar/Nomex),"duplicate supplier ('dupont de nemours', 'tier2_second_transformation', 'USA') at positions [3, 6]"
MEDIUM,RAW_MATERIALS_EMPTY,81,,Ens. Structure fauteuil,inox,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,81,,Ens. Structure fauteuil,inox,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,81,,Ens. Structure fauteuil,inox,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,81,,Ens. Structure fauteuil,inox,,,,,,,,,,,"role 'tier1' has 3 primary suppliers: ['SENIOR AEROSPACE', 'MGA Villeneuve St Lot', 'GATTEFIN']"
