record_index,system,component,mass_kg,mass_share_of_non_packaging_bom,has_lca_mass,mass_method,match_level,confidence,simulation_use_class,equipment_match,material_match,raw_materials_status,markers
74,Commande actionnement ECU,Commande actionnement ECU,0.75,0.006467392,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,COMMANDE ACTIONNEMENT,70 al 6000 30 analog pcb,missing_source,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_missing_source
75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,0.151,0.001302102,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,BUMPER VERSION PORTE,copolimer lexan fst 9705,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
76,Manchette acc. Mobile,cuir,0.039,0.000336304,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,MANCHETTE ACC MOBILE,ultra leather 330,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
77,Manchette équipée,cuir,0.06,0.000517391,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,MANCHETTE EQUIPEE,ultra leather 330,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",1.928,0.016625508,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,"ECRAN 17,3 INCH PNR 00-5155-02",screen display cots,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
79,Accoudoir allée,Ertalon,0.01,8.6232e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ACCOUDOIR ALLEE,ertalon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
80,Ens. Stowage latéral,Ertalon,0.003,2.587e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STOWAGE LATERAL,ertalon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
81,Ens. Structure fauteuil,inox,0.045,0.000388043,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STRUCTURE FAUTEUIL,inox,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
82,Ensemble porte,Ertalon,0.002,1.7246e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE PORTE,ertalon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
83,Ens. Tablette repas,Ertalon,0.007,6.0362e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE REPAS,ertalon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
84,Stowage assemblé avec porte,Ertalon,0.02,0.000172464,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,STOWAGE ASSEMBLE AVEC PORTE,ertalon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
85,Structure ottoman horizontale,Ertalon,0.0002725,2.35e-06,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,Structure Ottoman (horizontale),ertalon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
86,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,1.005,0.008666305,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,"COUSSIN OTTOMAN STD PITCH 38"" QTU",frmc55,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
87,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,0.121,0.001043406,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,COUSSIN TETIERE,frmc55,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
88,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,0.871,0.007510797,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS COUSSIN ASSISE,frmc55,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
89,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,0.854,0.007364203,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS COUSSIN DOSSIER VERSION TETIERE,frmc55,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
90,Ens. Coussin dossier,FRMC55 (C55 = % de carbone) et FMR = ?,1.091,0.009407899,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS COUSSIN DOSSIER,frmc55,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
91,Ens. Stowage latéral,FRMC55 (C55 = % de carbone) et FMR = ?,0.016,0.000137971,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STOWAGE LATERAL,frmc55,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
92,Manchette acc. Mobile,FRMC55 (C55 = % de carbone) et FMR = ?,0.039,0.000336304,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,MANCHETTE ACC MOBILE,frmc55,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
93,Manchette équipée,FRMC55 (C55 = % de carbone) et FMR = ?,0.039,0.000336304,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,MANCHETTE EQUIPEE,frmc55,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
94,Accoudoir allée,inox,0.018054,0.000155683,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ACCOUDOIR ALLEE,inox,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
95,Ens. Palette optimisée,inox,0.023743,0.00020474,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE PALETTE OPTIMISEE,inox,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
96,Ensemble porte,inox,0.0047592,4.1039e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE PORTE,inox,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
97,Ens. Structure fauteuil,GLO: moulage par injection plastique,0.081,0.000698478,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,ENS STRUCTURE FAUTEUIL,plastic (2 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
98,Ens. Tablette cocktail,inox,0.012,0.000103478,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE COCKTAIL,inox,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
99,Ens. Tablette repas,inox,0.014,0.000120725,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE REPAS,inox,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
100,Ens. Têtière,inox,0.001,8.623e-06,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE TETIERE,inox,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
101,Stowage assemblé avec porte,inox,0.00928,8.0023e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,STOWAGE ASSEMBLE AVEC PORTE,inox,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
102,Support écran,inox,0.014,0.000120725,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SUPPORT ECRAN ASSEMBLE,inox,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
103,Capot NFC,kydex,0.069,0.000595,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,CAPOT NFC,kydex,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
104,Coussin ottoman,kydex,0.037,0.000319058,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,"COUSSIN OTTOMAN STD PITCH 38"" QTU",kydex,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
105,Ens. Stowage latéral,kydex,1.161,0.010011522,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STOWAGE LATERAL,kydex,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
106,Ensemble porte,kydex,1.384,0.011934493,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE PORTE,kydex 5555,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
107,Ens. Tablette cocktail,kydex,0.715,0.00616558,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,ENS TABLETTE COCKTAIL,plastic (2 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
108,Ens. Tablette repas,kydex,0.059,0.000508768,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE REPAS,kydex 5555,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
109,Stowage assemblé avec porte,kydex,0.226,0.001948841,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,STOWAGE ASSEMBLE AVEC PORTE,kydex,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
110,Ens. Coque,NIDA - GLO (moulage par injection plastique),8.439,0.072771091,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE COQUE,panneau nida lamina ep12 7,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
111,Ceinture de sécurité,nylon,0.18,0.001552174,True,bom_mixed_material_share,equipment_material_split,medium_high,usable_for_baseline,CEINTURE DE SECURITE,nylon share of 80%INOX 20%Nylon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_split;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
112,Support clamps,nylon,1.284,0.011072174,True,bom_mixed_material_share,equipment_material_split,medium_high,usable_for_baseline,SUPPORT + CLAMPS,PA66 share of 50% INOX 50% PA66,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_split;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
113,Ens. Stowage latéral,nylon,0.016416667,0.000141564,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,ENS STOWAGE LATERAL,textile_foam_polyethylene (2 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
114,Ens. Palette optimisée,nylon,0.0021875,1.8863e-05,True,bom_system_material_family_sum,equipment_material_family,medium,usable_with_review,ENSEMBLE PALETTE OPTIMISEE,textile_foam_polyethylene (1 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
115,Ensemble porte,nylon,0.0004003,3.452e-06,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE PORTE,nylon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
116,Ens. Structure fixe,35NC6 (nickel-chrome),0.029,0.000250072,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE STRUCTURE FIXE,35nc6,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
117,Ens. Tablette cocktail,nylon,0.002,1.7246e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE COCKTAIL,nylon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
118,Ens. Tablette repas,nylon,0.0002,1.725e-06,True,bom_system_material_family_sum,equipment_material_family,medium,usable_with_review,ENS TABLETTE REPAS,textile_foam_polyethylene (1 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
119,Ens. Têtière,nylon,0.003,2.587e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE TETIERE,nylon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
120,Stowage assemblé avec porte,nylon,0.000375,3.234e-06,True,bom_system_material_family_sum,equipment_material_family,medium,usable_with_review,STOWAGE ASSEMBLE AVEC PORTE,textile_foam_polyethylene (1 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",2.378,0.020505943,True,bom_global_material_total,global_material,medium_low,scenario_only_review_required,manual_alias,screen display cots,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material;LCA_CONFIDENCE_medium_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
122,Ens. Structure fixe,acier,1.4326471,0.012353986,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE STRUCTURE FIXE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
123,Ens. Structure fixe,Alu,3.5410117,0.030534813,True,bom_system_material_family_sum,equipment_material_family,medium,usable_with_review,ENSEMBLE STRUCTURE FIXE,aluminium (1 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
124,Ens. Structure fixe,caoutchouc,0.01,8.6232e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE STRUCTURE FIXE,caoutchouc,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
125,Ens. Palette optimisée,Polychloroprene,0.0049932,4.3057e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE PALETTE OPTIMISEE,polychloroprene,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
126,Powerbox,powerbox,1.5,0.012934783,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,00-5136-51 Rev F Seat Power Box 4 (SPB4),power box cots,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
127,Ens. Coque,SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider,0.392,0.00338029,True,bom_global_material_total,global_material,medium_low,scenario_only_review_required,manual_alias,film decor aerfilm ep0 33 714g m2,missing_source,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material;LCA_CONFIDENCE_medium_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_missing_source
128,Ens. Coque,Résine BR623 - composite,0.488,0.004208116,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE COQUE,resine br623 p4,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
129,Ens. Tablette repas,Silicone50 shore,0.0007,6.036e-06,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE REPAS,silicone 50 shore,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
130,Remote extender unit,télécommande,0.07,0.000603623,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,REMOTE EXTENDER UNIT 3 (REU3),50 ptfe 50 analog pcb,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
131,Coussin têtière,tissu,0.191,0.001647029,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,COUSSIN TETIERE,textile (3 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
132,Ens. Coussin assise,tissu,0.42,0.003621739,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,ENS COUSSIN ASSISE,textile (2 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
133,Ens.coussin dossier version têtière,tissu,0.748,0.006450145,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,ENS COUSSIN DOSSIER VERSION TETIERE,textile (3 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
134,Ens. Coussin dossier,tissu,0.743,0.006407029,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,ENS COUSSIN DOSSIER,textile (3 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
135,Ens. Tablette cocktail,tissu,0.002,1.7246e-05,True,bom_system_material_family_sum,equipment_material_family,medium,usable_with_review,ENS TABLETTE COCKTAIL,textile (1 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
136,Ens. Têtière,tissu,0.002,1.7246e-05,True,bom_system_material_family_sum,equipment_material_family,medium,usable_with_review,ENSEMBLE TETIERE,textile (1 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
137,Padding (rembourrage),ULTRA LEATHER SMOKE,0.099,0.000853696,True,bom_global_material_total,global_material,medium_low,scenario_only_review_required,manual_alias,ultra leather 330,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_global_material;LCA_CONFIDENCE_medium_low;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
138,Ens. Structure fixe,inox,0.027,0.000232826,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE STRUCTURE FIXE,inox,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
139,Ens. Structure fixe,nylon,0.0145416,0.000125395,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE STRUCTURE FIXE,nylon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
140,Coussin têtière,velcro,0.007,6.0362e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,COUSSIN TETIERE,velcro,missing_source,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_missing_source
141,Ens.coussin dossier version têtière,velcro,0.005,4.3116e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS COUSSIN DOSSIER VERSION TETIERE,velcro,missing_source,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_missing_source
142,Ens. Coussin dossier,velcro,0.006,5.1739e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS COUSSIN DOSSIER,velcro,missing_source,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_missing_source
143,Manchette équipée,velcro,0.006,5.1739e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,MANCHETTE EQUIPEE,velcro,missing_source,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_missing_source
144,Coussin ottoman,velours,0.034,0.000293188,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,"COUSSIN OTTOMAN STD PITCH 38"" QTU",velours,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
145,Coussin têtière,velours,0.003,2.587e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,COUSSIN TETIERE,velours,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
146,Ens. Coussin assise,velours,0.025,0.00021558,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS COUSSIN ASSISE,velours,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
