edge,from_name,to_name,distance_km,modes,component_count,mass_kg,kg_km,families,example_components
T3->T2,Ensinger - material intermediate sourcing,Ensinger,0.0,internal,2,0.015,0.0,polymer_plastic=2,124:caoutchouc | 125:Polychloroprene
T3->T2,COTS electronics PCB/subassembly package,Ensinger,0.0,internal,1,0.07,0.0,general=1,130:télécommande
T4->T3,BASF,Ultrafabrics,9238.0,ship|truck,1,0.0,0.0,textile_leather=1,137:ULTRA LEATHER SMOKE
T3->T2,Ultrafabrics,MGR Foamtex Ltd,9414.7,ship|truck,1,0.0,0.0,textile_leather=1,137:ULTRA LEATHER SMOKE
T2->T1,MGR Foamtex Ltd,Celso SAS,884.2,truck,1,0.0,0.0,textile_leather=1,137:ULTRA LEATHER SMOKE
T2->T1,DuPont de Nemours,COLLINS,6749.5,ship|truck,6,0.0,0.0,textile_leather=6,"158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique)"
T1->OEM,COLLINS,Safran Seats / Safran internal group,667.6,truck,6,0.0,0.0,textile_leather=6,"158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique)"
T3->T2,Euralliage Ile de France,JAMCO Aircraft Interiors - Niigata - internal machining/forming process,9453.8,ship|truck,1,0.0,0.0,aluminium=1,161:65% aluminium
T2->T1,JAMCO Aircraft Interiors - Niigata - internal machining/forming process,JAMCO Aircraft Interiors - Niigata,0.0,internal,1,0.0,0.0,aluminium=1,161:65% aluminium
T2->T1,DuPont de Nemours,JAMCO Aircraft Interiors - Niigata,10811.2,ship|truck,3,0.0,0.0,textile_leather=3,"162:16 % Tissu, mousse, polyéthylène | 164:8% autre (silicium, cuirs synthétique) | 165:16 % Tissu, mousse"
T4->T3,Toray Industries - carbon fiber upstream source assumption,Toray Industries,411.4,truck,1,0.0,0.0,titanium_carbon=1,166:titane fibre de carbone
T3->T2,Toray Industries,Toray Industries,0.0,internal,1,0.0,0.0,titanium_carbon=1,166:titane fibre de carbone
T2->T1,Toray Industries,JAMCO Aircraft Interiors - Niigata,766.7,truck,1,0.0,0.0,titanium_carbon=1,166:titane fibre de carbone
